id,scheme_name,min_age,max_age,max_income,category,gender,location,occupation,disability_required,minority_required,description
1,"Pradhan Mantri Awas Yojana (PMAY)",18,NULL,300000,GENERAL,ALL,India,ALL,NO,NO,"Housing scheme for urban and rural poor."
2,"Ayushman Bharat PM-JAY",NULL,NULL,NULL,GENERAL,ALL,India,ALL,NO,NO,"Health insurance up to 5 lakh per family."
3,"Pradhan Mantri Ujjwala Yojana",18,NULL,150000,GENERAL,Female,India,ALL,NO,NO,"Free LPG connections for poor households."
4,"Pradhan Mantri Kisan Samman Nidhi",18,NULL,NULL,GENERAL,ALL,India,Farmer,NO,NO,"Income support for farmers."
5,"Pradhan Mantri Mudra Yojana",18,NULL,NULL,GENERAL,ALL,India,Entrepreneur,NO,NO,"Loans for micro enterprises."
6,"Stand Up India Scheme",18,NULL,NULL,SC,ALL,India,Entrepreneur,NO,NO,"Bank loans for SC/ST and women entrepreneurs."
7,"Atal Pension Yojana",18,40,NULL,GENERAL,ALL,India,ALL,NO,NO,"Pension scheme for unorganized workers."
8,"PM Jeevan Jyoti Bima Yojana",18,50,NULL,GENERAL,ALL,India,ALL,NO,NO,"Life insurance scheme."
9,"PM Suraksha Bima Yojana",18,70,NULL,GENERAL,ALL,India,ALL,NO,NO,"Accident insurance scheme."
10,"National Scholarship Portal Schemes",NULL,NULL,250000,GENERAL,ALL,India,Student,NO,NO,"Scholarships for eligible students."
11,"PM Kaushal Vikas Yojana",15,45,NULL,GENERAL,ALL,India,Youth,NO,NO,"Skill development program."
12,"PM Fasal Bima Yojana",18,NULL,NULL,GENERAL,ALL,India,Farmer,NO,NO,"Crop insurance scheme."
13,"PM SVANidhi Scheme",18,NULL,NULL,GENERAL,ALL,India,"Street Vendor",NO,NO,"Working capital support for vendors."
14,"National Social Assistance Programme",60,NULL,100000,GENERAL,ALL,India,ALL,NO,NO,"Social pension scheme."
15,"Digital India Programme",NULL,NULL,NULL,GENERAL,ALL,India,ALL,NO,NO,"Digital empowerment initiative."
16,"National Rural Livelihood Mission",18,NULL,NULL,GENERAL,ALL,India,Rural,NO,NO,"Self-help group empowerment."
17,"Swachh Bharat Mission",NULL,NULL,NULL,GENERAL,ALL,India,ALL,NO,NO,"Sanitation and toilet construction scheme."
18,"PM Employment Generation Programme",18,NULL,NULL,GENERAL,ALL,India,Entrepreneur,NO,NO,"Support for new enterprises."
19,"PM Matru Vandana Yojana",19,NULL,200000,GENERAL,Female,India,ALL,NO,NO,"Maternity benefit scheme."
20,"National Means Cum Merit Scholarship",NULL,NULL,200000,GENERAL,ALL,India,Student,NO,NO,"Scholarship for economically weaker students."
21,"PM Vishwakarma Yojana",18,NULL,300000,GENERAL,ALL,India,Artisan,NO,NO,"Support for traditional artisans."
22,"National Pension Scheme (NPS)",18,70,NULL,GENERAL,ALL,India,ALL,NO,NO,"Retirement savings scheme."
23,"PM Garib Kalyan Anna Yojana",NULL,NULL,NULL,GENERAL,ALL,India,ALL,NO,NO,"Free food grain distribution."
24,"Jal Jeevan Mission",NULL,NULL,NULL,GENERAL,ALL,India,Rural,NO,NO,"Safe drinking water supply."
25,"National Digital Literacy Mission",14,NULL,NULL,GENERAL,ALL,India,Student,NO,NO,"Digital literacy training."
26,"PM Shram Yogi Maandhan",18,40,150000,GENERAL,ALL,India,Worker,NO,NO,"Pension scheme for workers."
27,"National Career Service",18,NULL,NULL,GENERAL,ALL,India,"Job Seeker",NO,NO,"Employment assistance portal."
