id,scheme_id,eligibility,benefits,documents_required,application_process,official_website,helpline_number
1,1,"Families belonging to EWS/LIG categories as per PMAY norms.","Financial assistance for construction or purchase of house.","Aadhar, Income Certificate, Address Proof","Apply online through PMAY portal or local authority.",https://pmaymis.gov.in,1800116446
2,2,"Families identified under SECC database.","Health insurance coverage up to Rs 5 lakh per family per year.","Aadhar, Ration Card","Visit empanelled hospital for cashless treatment.",https://pmjay.gov.in,14555
3,3,"Women from low-income households without LPG connection.","Free LPG connection with financial assistance.","Ration Card, Aadhar","Apply via nearest LPG distributor.",https://pmuy.gov.in,18002666696
4,4,"Small and marginal farmers owning cultivable land.","Rs 6000 per year income support via DBT.","Aadhar, Land Records","Register through PM-KISAN portal.",https://pmkisan.gov.in,155261
5,5,"Non-corporate small business owners.","Loan up to Rs 10 lakh under Shishu/Kishore/Tarun categories.","ID Proof, Business Details","Apply via bank or NBFC.",https://mudra.org.in,18001801111
6,6,"SC/ST and Women entrepreneurs above 18 years.","Bank loans between Rs 10 lakh to Rs 1 crore.","Caste Certificate, Business Plan","Apply via Stand Up India portal or bank.",https://www.standupmitra.in,18001805555
7,7,"Unorganized sector workers aged 18–40 years.","Guaranteed pension between Rs 1000–5000 per month.","Aadhar, Bank Details","Enroll via bank or CSC.",https://www.npscra.nsdl.co.in,1800110690
8,8,"Individuals aged 18–50 with bank account.","Life insurance cover of Rs 2 lakh.","Aadhar, Bank Account","Enroll through participating bank.",https://jansuraksha.gov.in,18001801111
9,9,"Individuals aged 18–70 with bank account.","Accident insurance cover of Rs 2 lakh.","Aadhar, Bank Account","Enroll via bank.",https://jansuraksha.gov.in,18001801111
10,10,"Students belonging to eligible income and category criteria.","Scholarship financial assistance.","Income Certificate, Caste Certificate","Apply through National Scholarship Portal.",https://scholarships.gov.in,1800118000
11,11,"Youth seeking skill training certification.","Free skill training and certification.","Aadhar, Education Proof","Register on PMKVY portal.",https://www.pmkvyofficial.org,18001096286
12,12,"Farmers enrolled in notified crops.","Crop insurance coverage against losses.","Land Documents, Bank Details","Enroll through bank or agriculture office.",https://pmfby.gov.in,18001801551
13,13,"Registered street vendors.","Working capital loan support.","Vendor ID, Aadhar","Apply through bank portal.",https://pmsvanidhi.mohua.gov.in,1800111979
14,14,"Senior citizens, widows, and disabled persons under poverty criteria.","Monthly pension assistance.","Income Certificate, Age Proof","Apply through local authority office.",https://nsap.nic.in,1800111111
15,15,"Citizens and institutions using digital services.","Access to digital services and infrastructure.","Not Required","Access services online.",https://www.digitalindia.gov.in,1800111555
16,16,"Rural poor households forming SHGs.","Financial and livelihood support.","Income Certificate","Apply via local SHG mission office.",https://aajeevika.gov.in,1800118000
17,17,"Households without toilet facilities.","Financial assistance for toilet construction.","ID Proof","Apply through local municipality.",https://swachhbharatmission.gov.in,18001800404
